ncm;artigo;pagina;trecho
85030090;101;30;"101. Ficam reduzidas a 0% (zero por cento) as alíquotas da Contribuição para o PIS/Pasep e da Co fi ns incidentes sobre as receitas decorrentes da venda de produtos classi fi cados no Ex 01 do código 8503.00.90 da Tipi, exceto pás eólicas, utilizados exclusiva ou principalmente em aerogeradores classi fi cados no códig"
85023100;101;30;" receitas decorrentes da venda de produtos classi fi cados no Ex 01 do código 8503.00.90 da Tipi, exceto pás eólicas, utilizados exclusiva ou principalmente em aerogeradores classi fi cados no código 8502.31.00 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXXVII, com redação dada pela Lei nº 13.169, de 2015, art. 1"
40115000;102;;"Art. 102. Ficam reduzidas a 0% (zero por cento) as alíquotas da Contribuição para o PIS/Pasep e da Co fi ns incidentes sobre as receitas de venda dos produtos classi fi cados nos códigos 4011.50.00 e 4013.20.00 auferidas por pessoas jurídicas fabricantes com estabelecimentos implantados na ZFM nos termos d"
40132000;102;;"Art. 102. Ficam reduzidas a 0% (zero por cento) as alíquotas da Contribuição para o PIS/Pasep e da Co fi ns incidentes sobre as receitas de venda dos produtos classi fi cados nos códigos 4011.50.00 e 4013.20.00 auferidas por pessoas jurídicas fabricantes com estabelecimentos implantados na ZFM nos termos do art. 445 (L"
84051000;143;41;"INCO 98 TAURINA 99 TIAMINA 100 TIROSINA 101 TOCOFEROL 102 TREONINA 103 TRIGLICERÍDEOS DE CADEIA MÉDIA 104 TRIPTOFANA ANEXO XVI MÁQUINAS, APARELHOS, INSTRUMENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00"
84393010;143;41;"RINA 99 TIAMINA 100 TIROSINA 101 TOCOFEROL 102 TREONINA 103 TRIGLICERÍDEOS DE CADEIA MÉDIA 104 TRIPTOFANA ANEXO XVI MÁQUINAS, APARELHOS, INSTRUMENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10"
84622200;143;41;"MINA 100 TIROSINA 101 TOCOFEROL 102 TREONINA 103 TRIGLICERÍDEOS DE CADEIA MÉDIA 104 TRIPTOFANA ANEXO XVI MÁQUINAS, APARELHOS, INSTRUMENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00"
84798912;143;41;"ROSINA 101 TOCOFEROL 102 TREONINA 103 TRIGLICERÍDEOS DE CADEIA MÉDIA 104 TRIPTOFANA ANEXO XVI MÁQUINAS, APARELHOS, INSTRUMENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90"
90173090;143;41;"TOCOFEROL 102 TREONINA 103 TRIGLICERÍDEOS DE CADEIA MÉDIA 104 TRIPTOFANA ANEXO XVI MÁQUINAS, APARELHOS, INSTRUMENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99"
84122900;143;41;"02 TREONINA 103 TRIGLICERÍDEOS DE CADEIA MÉDIA 104 TRIPTOFANA ANEXO XVI MÁQUINAS, APARELHOS, INSTRUMENTOS E EQUIPAMENTOS - ZONA FRANCA DE MANAUS 8405.10.00 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80"
