ncm;cest;mva;aliq_interna;op_interna;segmento;norma;dispositivo;trecho
85171213;0105600;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Telefones móveis do tipo dos utilizados em veículos automóveis."
8518;0105700;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Alto-falantes, amplificadores elétricos de audiofrequência e partes"
85185000;0105800;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Aparelhos elétricos de amplificação de som para veículos automotores"
851981;0105900;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Aparelhos de reprodução de som"
8525501;0106000;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)"
85256010;0106000;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)"
85272100;0106100;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia combinados com um aparelho de gravação ou de reprodução de som, do tipo utilizado em veículos automóveis"
85272900;0106200;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Outros aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia, do tipo utilizado em veículos automóveis"
85219090;0106201;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores"
85291090;0106300;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Antenas"
853400;0106400;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Circuitos impressos"
853530;0106500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Interruptores e seccionadores e comutadores"
853650;0106500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Interruptores e seccionadores e comutadores"
85361000;0106600;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Fusíveis e corta-circuitos de fusíveis"
85362000;0106700;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Disjuntores"
85364;0106800;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Relés"
8538;0106900;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00"
853910;0107000;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Faróis e projetores, em unidades seladas"
85392;0107100;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos"
85442000;0107200;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Cabos coaxiais e outros condutores elétricos coaxiais"
85443000;0107300;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Jogos de fios para velas de ignição e outros jogos de fios"
8707;0107400;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas"
8708;0107500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Partes e acessórios dos veículos automóveis das posições 8701 a 8705"
87141;0107600;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Parte e acessórios de motocicletas (incluídos os ciclomotores)"
87169090;0107700;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Engates para reboques e semirreboques"
902610;0107800;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Medidores de nível; Medidores de vazão"
902620;0107900;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Aparelhos para medida ou controle da pressão"
9029;0108000;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios"
90303321;0108100;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Amperímetros"
90318040;0108200;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo)"
9032892;0108300;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Controladores eletrônicos"
91040000;0108400;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Relógios para painéis de instrumentos e relógios semelhantes"
94012000;0108500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Assentos e partes de assentos"
94019090;0108500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Assentos e partes de assentos"
96138000;0108600;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Acendedores"
4009;0108700;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios"
45049000;0108800;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Juntas de vedação de cortiça natural e de amianto"
68129910;0108800;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Juntas de vedação de cortiça natural e de amianto"
48234000;0108900;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Papel-diagrama para tacógrafo, em disco"
39191000;0109000;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários"
39199000;0109000;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários"
