segmento;anexo;item;cest;ncm;descricao;op_interna;protocolo;legislacao;mva4;mva7;mva12;mva_int;mva2_4;mva2_7;mva2_12;mva2_int;mva_ns4;mva_ns7;mva_ns12;mva_imp;pfc;aliq_interna;fecoep;aliq_txt;vigencia;versao
AUTOPEÇAS;II;57;0105500;85149000;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;58;0105600;85171213;Telefones móveis do tipo dos utilizados em veículos automóveis.;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;59;0105700;8518;Alto-falantes, amplificadores elétricos de audiofrequência e partes;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;60;0105800;85185000;Aparelhos elétricos de amplificação de som para veículos automotores;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;61;0105900;851981;Aparelhos de reprodução de som;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;62;0106000;8525501;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor);S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;62;0106000;85256010;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor);S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;63;0106100;85272100;Aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia combinados com um aparelho de gravação ou de reprodução de som, do tipo utilizado em veículos automóveis;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;64;0106200;85272900;Outros aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia, do tipo utilizado em veículos automóveis;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;65;0106201;85219090;Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;66;0106300;85291090;Antenas;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;67;0106400;853400;Circuitos impressos;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
